Unnamed: 0,World Rank▲ ▼,Institution▲ ▼,Country▲ ▼,Year ▲ ▼,Unnamed: 5
1,19 ▲,National University of Singapore,,2023,
2,21 ▲,National University of Singapore,,2022,
3,22 ▲,National University of Singapore,,2018,
4,23 ▼,National University of Singapore,,2019,
5,24 ▲,National University of Singapore,,2017,
6,25 =,National University of Singapore,,2021,
7,25 ▼,National University of Singapore,,2020,
8,25 ▲,National University of Singapore,,2015,
9,26 ▼,National University of Singapore,,2016,
10,26 ▲,National University of Singapore,,2014,
11,29 ▲,National University of Singapore,,2013,
12,34 ▲,National University of Singapore,,2011,
13,36 ▲,Nanyang Technological University,,2023,
14,40 ▼,National University of Singapore,,2012,
15,46 ▲,Nanyang Technological University,,2022,
16,47 ▲,Nanyang Technological University,,2021,
17,48 ▲,Nanyang Technological University,,2020,
18,51 ▲,Nanyang Technological University,,2019,
19,52 ▲,Nanyang Technological University,,2018,
20,54 ▲,Nanyang Technological University,,2017,
21,55 ▲,Nanyang Technological University,,2016,
22,61 ▲,Nanyang Technological University,,2015,
23,76 ▲,Nanyang Technological University,,2014,
24,86 ▲,Nanyang Technological University,,2013,
25,169 ▲,Nanyang Technological University,,2012,
26,174 ▲,Nanyang Technological University,,2011,
